"gene_symbol","hgnc_id","gene_url","disease_label","mondo_id","disease_url","mode_of_inheritance","dosage_haploinsufficiency_assertion","dosage_triplosensitivity_assertion","dosage_report","dosage_group","gene_disease_validity_assertion_classifications","gene_disease_validity_assertion_reports","gene_disease_validity_gceps","actionability_assertion_classifications","actionability_assertion_reports","actionability_groups"
"ETV6","HGNC:3495","https://search.clinicalgenome.org/kb/genes/HGNC:3495","thrombocytopenia 5","MONDO:0014536","https://search.clinicalgenome.org/kb/conditions/MONDO:0014536","Autosomal dominant inheritance","3 - Sufficient Evidence for Haploinsufficiency (01/11/2023)","0 - No Evidence for Triplosensitivity (01/11/2023)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3495","Dosage Working Group","definitive evidence (01/22/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_92a8c1cb-91c1-45cd-adbe-4180b1f6da7d-2020-01-22T170000.000Z","Hemostasis Thrombosis","","",""
"EVC2","HGNC:19747","https://search.clinicalgenome.org/kb/genes/HGNC:19747","Ellis-van Creveld syndrome","MONDO:0009162","https://search.clinicalgenome.org/kb/conditions/MONDO:0009162","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (07/18/2013)","0 - No Evidence for Triplosensitivity (07/18/2013)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:19747","Dosage Working Group","","","","","",""
"EWSR1","HGNC:3508","https://search.clinicalgenome.org/kb/genes/HGNC:3508","amyotrophic lateral sclerosis","MONDO:0004976","https://search.clinicalgenome.org/kb/conditions/MONDO:0004976","Mode of inheritance","","","","","disputing (10/11/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_4e210cfa-3eb4-4f9b-ad0c-67cfae624029-2022-10-11T160000.000Z","Amyotrophic Lateral Sclerosis Spectrum Disorders","","",""
"EXO1","HGNC:3511","https://search.clinicalgenome.org/kb/genes/HGNC:3511","Lynch syndrome","MONDO:0005835","https://search.clinicalgenome.org/kb/conditions/MONDO:0005835","Autosomal dominant inheritance","","","","","refuting evidence (12/20/2023)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3981895c-65e4-4553-9e06-234162704eb4-2023-12-20T180000.000Z","Hereditary Cancer","","",""
"EXOC2","HGNC:24968","https://search.clinicalgenome.org/kb/genes/HGNC:24968","complex neurodevelopmental disorder","MONDO:0100038","https://search.clinicalgenome.org/kb/conditions/MONDO:0100038","Autosomal recessive inheritance","","","","","limited evidence (08/01/2024)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8813a496-aad3-4854-83de-8c935d07ad44-2024-08-01T170000.000Z","Intellectual Disability and Autism","","",""
"EXOC6B","HGNC:17085","https://search.clinicalgenome.org/kb/genes/HGNC:17085","spondyloepimetaphyseal dysplasia with joint laxity, type 3","MONDO:0032724","https://search.clinicalgenome.org/kb/conditions/MONDO:0032724","Autosomal recessive inheritance","","","","","definitive evidence (07/02/2025)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_162103c3-57c8-428c-8b31-4befec82aa4c-2025-07-02T160000.000Z","Skeletal Disorders","","",""
"EXOC7","HGNC:23214","https://search.clinicalgenome.org/kb/genes/HGNC:23214","complex neurodevelopmental disorder","MONDO:0100038","https://search.clinicalgenome.org/kb/conditions/MONDO:0100038","Autosomal recessive inheritance","","","","","moderate evidence (06/20/2023)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_cfa8fad2-3961-4f16-861f-45ce6c859ad8-2023-06-20T160000.000Z","Intellectual Disability and Autism","","",""
"EXOSC3","HGNC:17944","https://search.clinicalgenome.org/kb/genes/HGNC:17944","pontocerebellar hypoplasia type 1B","MONDO:0013853","https://search.clinicalgenome.org/kb/conditions/MONDO:0013853","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Triplosensitivity (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:17944","Dosage Working Group","","","","","",""
"EXPH5","HGNC:30578","https://search.clinicalgenome.org/kb/genes/HGNC:30578","epidermolysis bullosa simplex 4, localized or generalized intermediate, autosomal recessive","MONDO:0014014","https://search.clinicalgenome.org/kb/conditions/MONDO:0014014","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Triplosensitivity (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:30578","Dosage Working Group","","","","","",""
"EXT1","HGNC:3512","https://search.clinicalgenome.org/kb/genes/HGNC:3512","exostoses, multiple, type 1","MONDO:0007585","https://search.clinicalgenome.org/kb/conditions/MONDO:0007585","Autosomal dominant inheritance","3 - Sufficient Evidence for Haploinsufficiency (06/17/2020)","0 - No Evidence for Triplosensitivity (06/17/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3512","Dosage Working Group","definitive evidence (06/04/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0ced1387-c0a8-4f03-bd70-1595cb7683fd-2018-06-04T170000.000Z","Hereditary Cancer","","",""
"EXT2","HGNC:3513","https://search.clinicalgenome.org/kb/genes/HGNC:3513","exostoses, multiple, type 2","MONDO:0007586","https://search.clinicalgenome.org/kb/conditions/MONDO:0007586","Autosomal dominant inheritance","3 - Sufficient Evidence for Haploinsufficiency (06/23/2020)","0 - No Evidence for Triplosensitivity (06/23/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3513","Dosage Working Group","definitive evidence (12/21/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_9e6829ce-3e0b-44c5-a214-756f33b1e948-2018-12-21T153126.680Z","Hereditary Cancer","","",""
"EYA1","HGNC:3519","https://search.clinicalgenome.org/kb/genes/HGNC:3519","branchio-oto-renal syndrome","MONDO:0007029","https://search.clinicalgenome.org/kb/conditions/MONDO:0007029","Autosomal dominant inheritance","3 - Sufficient Evidence for Haploinsufficiency (08/26/2020)","0 - No Evidence for Triplosensitivity (08/26/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3519","Dosage Working Group","definitive evidence (11/21/2017)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_dca41ef6-ee63-4b1f-93d3-8b114dafcc58-2017-11-21T170000.000Z","Hearing Loss","","",""
"EYA1","HGNC:3519","https://search.clinicalgenome.org/kb/genes/HGNC:3519","branchiootorenal syndrome 1","MONDO:0007236","https://search.clinicalgenome.org/kb/conditions/MONDO:0007236","N/A","3 - Sufficient Evidence for Haploinsufficiency (08/26/2020)","0 - No Evidence for Triplosensitivity (08/26/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3519","Dosage Working Group","","","","","",""
"EYA4","HGNC:3522","https://search.clinicalgenome.org/kb/genes/HGNC:3522","nonsyndromic genetic hearing loss","MONDO:0019497","https://search.clinicalgenome.org/kb/conditions/MONDO:0019497","Autosomal dominant inheritance","3 - Sufficient Evidence for Haploinsufficiency (01/22/2020)","0 - No Evidence for Triplosensitivity (01/22/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3522","Dosage Working Group","definitive evidence (01/05/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_21c75059-bd7b-48ef-a828-28ffebe52ca0-2018-01-05T170000.000Z","Hearing Loss","","",""
"EYA4","HGNC:3522","https://search.clinicalgenome.org/kb/genes/HGNC:3522","dilated cardiomyopathy 1J","MONDO:0011541","https://search.clinicalgenome.org/kb/conditions/MONDO:0011541","Autosomal dominant inheritance","3 - Sufficient Evidence for Haploinsufficiency (01/22/2020)","0 - No Evidence for Triplosensitivity (01/22/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3522","Dosage Working Group","limited evidence (02/05/2025)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5e0a0bad-1f7a-402e-af19-a80453653b86-2025-02-05T050000.000Z","Dilated Cardiomyopathy","","",""
"EYA4","HGNC:3522","https://search.clinicalgenome.org/kb/genes/HGNC:3522","autosomal dominant nonsyndromic hearing loss 10","MONDO:0011031","https://search.clinicalgenome.org/kb/conditions/MONDO:0011031","N/A","3 - Sufficient Evidence for Haploinsufficiency (01/22/2020)","0 - No Evidence for Triplosensitivity (01/22/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3522","Dosage Working Group","","","","","",""
"EYS","HGNC:21555","https://search.clinicalgenome.org/kb/genes/HGNC:21555","EYS-related retinopathy","MONDO:0800391","https://search.clinicalgenome.org/kb/conditions/MONDO:0800391","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:21555","Dosage Working Group","definitive evidence (11/03/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7f70860e-464d-4d26-aee0-07ef03e4da1b-2022-11-03T160000.000Z","Retina","","",""
"EYS","HGNC:21555","https://search.clinicalgenome.org/kb/genes/HGNC:21555","retinitis pigmentosa 25","MONDO:0011272","https://search.clinicalgenome.org/kb/conditions/MONDO:0011272","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:21555","Dosage Working Group","","","","","",""
"EZH2","HGNC:3527","https://search.clinicalgenome.org/kb/genes/HGNC:3527","Weaver syndrome","MONDO:0010193","https://search.clinicalgenome.org/kb/conditions/MONDO:0010193","Autosomal dominant inheritance","","","","","definitive evidence (08/03/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5dcf5941-6076-4486-94be-7ba3944abaee-2022-08-03T160000.000Z","Intellectual Disability and Autism","","",""
"F10","HGNC:3528","https://search.clinicalgenome.org/kb/genes/HGNC:3528","congenital factor X deficiency","MONDO:0009212","https://search.clinicalgenome.org/kb/conditions/MONDO:0009212","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3528","Dosage Working Group","definitive evidence (11/27/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_4adcc848-b354-4975-801f-4b55bbca64ad-2019-11-27T170000.000Z","Hemostasis Thrombosis","","",""
"F11","HGNC:3529","https://search.clinicalgenome.org/kb/genes/HGNC:3529","congenital factor XI deficiency","MONDO:0012897","https://search.clinicalgenome.org/kb/conditions/MONDO:0012897","Semidominant inheritance","","","","","definitive evidence (10/23/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a57ba9d9-45c5-48bc-b939-7593f67a86ed-2019-10-23T160000.000Z","Hemostasis Thrombosis","Strong Actionability (07/19/2018)","https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC153","Adult Actionability Working Group"
"F12","HGNC:3530","https://search.clinicalgenome.org/kb/genes/HGNC:3530","hereditary angioedema type 3","MONDO:0012526","https://search.clinicalgenome.org/kb/conditions/MONDO:0012526","Autosomal dominant inheritance","","","","","definitive evidence (09/04/2024)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f40992c9-1172-4528-ab53-95108094d4b6-2024-09-04T160000.000Z","Hemostasis Thrombosis","","",""
"F12","HGNC:3530","https://search.clinicalgenome.org/kb/genes/HGNC:3530","congenital factor XII deficiency","MONDO:0009315","https://search.clinicalgenome.org/kb/conditions/MONDO:0009315","Autosomal recessive inheritance","","","","","definitive evidence (01/22/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_50bbe8d0-4feb-43c7-8573-9d7f85c82e54-2020-01-22T170000.000Z","Hemostasis Thrombosis","","",""
"F13A1","HGNC:3531","https://search.clinicalgenome.org/kb/genes/HGNC:3531","factor XIII, A subunit, deficiency of","MONDO:0013187","https://search.clinicalgenome.org/kb/conditions/MONDO:0013187","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Triplosensitivity (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3531","Dosage Working Group","definitive evidence (07/22/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_dd9321a7-f45d-419e-94ce-101ab545a847-2020-07-22T160000.000Z","Hemostasis Thrombosis","","",""
"F13B","HGNC:3534","https://search.clinicalgenome.org/kb/genes/HGNC:3534","factor XIII, b subunit, deficiency of","MONDO:0013190","https://search.clinicalgenome.org/kb/conditions/MONDO:0013190","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Triplosensitivity (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3534","Dosage Working Group","definitive evidence (07/22/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_403b3588-323c-4103-9207-cc9c8be12281-2020-07-22T160000.000Z","Hemostasis Thrombosis","","",""
"F2","HGNC:3535","https://search.clinicalgenome.org/kb/genes/HGNC:3535","congenital prothrombin deficiency","MONDO:0013361","https://search.clinicalgenome.org/kb/conditions/MONDO:0013361","Autosomal recessive inheritance","","","","","definitive evidence (06/24/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6ba9c4b9-9984-4d31-a9ae-bf638838f201-2020-06-24T160000.000Z","Hemostasis Thrombosis","","",""
"F2","HGNC:3535","https://search.clinicalgenome.org/kb/genes/HGNC:3535","thrombophilia due to thrombin defect","MONDO:0008559","https://search.clinicalgenome.org/kb/conditions/MONDO:0008559","Autosomal dominant inheritance","","","","","definitive evidence (06/24/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6389b3a3-ef86-4588-9be8-eb79dcb8d3cd-2020-06-24T160000.000Z","Hemostasis Thrombosis","","",""
"F5","HGNC:3542","https://search.clinicalgenome.org/kb/genes/HGNC:3542","thrombophilia due to activated protein C resistance","MONDO:0008560","https://search.clinicalgenome.org/kb/conditions/MONDO:0008560","Autosomal dominant inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (01/11/2018)","0 - No Evidence for Triplosensitivity (01/11/2018)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3542","Dosage Working Group","definitive evidence (09/30/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ab28e09c-08ff-4149-a536-3cdb9cc4099f-2019-09-30T160000.000Z","Hemostasis Thrombosis","Moderate Actionability (04/04/2016) | Limited Actionability (11/02/2015) | Has Insufficient Evidence for Actionability Based on Early Rule-out (06/04/2025)","https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC105 | https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC106 | https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC106","Adult Actionability Working Group | Adult Actionability Working Group | Pediatric Actionability Working Group"
"F5","HGNC:3542","https://search.clinicalgenome.org/kb/genes/HGNC:3542","congenital factor V deficiency","MONDO:0009210","https://search.clinicalgenome.org/kb/conditions/MONDO:0009210","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (01/11/2018)","0 - No Evidence for Triplosensitivity (01/11/2018)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3542","Dosage Working Group","definitive evidence (03/25/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_beaa3af3-7d91-4d53-b081-de0e660c16c6-2020-03-25T160000.000Z","Hemostasis Thrombosis","Strong Actionability (11/10/2017)","https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC149","Adult Actionability Working Group"
"F7","HGNC:3544","https://search.clinicalgenome.org/kb/genes/HGNC:3544","factor VII deficiency","MONDO:0002244","https://search.clinicalgenome.org/kb/conditions/MONDO:0002244","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3544","Dosage Working Group","definitive evidence (07/24/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_43fb4e99-e97a-4d9c-af11-79c2b09ecd2e-2019-07-24T160000.000Z","Hemostasis Thrombosis","Strong Actionability (05/29/2021) | Strong Actionability (05/29/2021)","https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC1038 | https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC1038","Adult Actionability Working Group | Pediatric Actionability Working Group"
"F7","HGNC:3544","https://search.clinicalgenome.org/kb/genes/HGNC:3544","congenital factor VII deficiency","MONDO:0009211","https://search.clinicalgenome.org/kb/conditions/MONDO:0009211","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3544","Dosage Working Group","","","","Strong Actionability (05/29/2021) | Strong Actionability (05/29/2021)","https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC1038 | https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC1038","Adult Actionability Working Group | Pediatric Actionability Working Group"
"F8","HGNC:3546","https://search.clinicalgenome.org/kb/genes/HGNC:3546","hemophilia A","MONDO:0010602","https://search.clinicalgenome.org/kb/conditions/MONDO:0010602","X-linked inheritance","3 - Sufficient Evidence for Haploinsufficiency (10/13/2020)","0 - No Evidence for Triplosensitivity (10/13/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3546","Dosage Working Group","definitive evidence (07/24/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d4578f11-b635-45f4-8034-310fca5fe960-2019-07-24T160000.000Z","Hemostasis Thrombosis","Assertion Pending (07/27/2016)","https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC044","Adult Actionability Working Group"
"F8","HGNC:3546","https://search.clinicalgenome.org/kb/genes/HGNC:3546","hemophilia","MONDO:0018660","https://search.clinicalgenome.org/kb/conditions/MONDO:0018660","N/A","3 - Sufficient Evidence for Haploinsufficiency (10/13/2020)","0 - No Evidence for Triplosensitivity (10/13/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3546","Dosage Working Group","","","","Assertion Pending (07/27/2016)","https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC044","Adult Actionability Working Group"
"F9","HGNC:3551","https://search.clinicalgenome.org/kb/genes/HGNC:3551","hemophilia B","MONDO:0010604","https://search.clinicalgenome.org/kb/conditions/MONDO:0010604","X-linked inheritance","3 - Sufficient Evidence for Haploinsufficiency (01/12/2021)","0 - No Evidence for Triplosensitivity (01/12/2021)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3551","Dosage Working Group","definitive evidence (05/22/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3d56d08d-48d0-4523-b433-dbd44c5b9e45-2019-05-22T190226.728Z","Hemostasis Thrombosis","Assertion Pending (07/27/2016)","https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC044","Adult Actionability Working Group"
"F9","HGNC:3551","https://search.clinicalgenome.org/kb/genes/HGNC:3551","thrombophilia, X-linked, due to factor 9 defect","MONDO:0010432","https://search.clinicalgenome.org/kb/conditions/MONDO:0010432","X-linked inheritance","3 - Sufficient Evidence for Haploinsufficiency (01/12/2021)","0 - No Evidence for Triplosensitivity (01/12/2021)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3551","Dosage Working Group","limited evidence (11/06/2023)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_9b3a7f2c-a07a-4a10-b1f7-78642ebdaa5d-2023-11-06T170000.000Z","Hemostasis Thrombosis","","",""
"F9","HGNC:3551","https://search.clinicalgenome.org/kb/genes/HGNC:3551","hemophilia","MONDO:0018660","https://search.clinicalgenome.org/kb/conditions/MONDO:0018660","N/A","3 - Sufficient Evidence for Haploinsufficiency (01/12/2021)","0 - No Evidence for Triplosensitivity (01/12/2021)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3551","Dosage Working Group","","","","Assertion Pending (07/27/2016)","https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC044","Adult Actionability Working Group"
"FA2H","HGNC:21197","https://search.clinicalgenome.org/kb/genes/HGNC:21197","hereditary spastic paraplegia 35","MONDO:0012866","https://search.clinicalgenome.org/kb/conditions/MONDO:0012866","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:21197","Dosage Working Group","definitive evidence (01/27/2025)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d5cb819a-ac27-4e87-9db3-6997c476d871-2025-01-27T170000.000Z","Leukodystrophy and Leukoencephalopathy","","",""
"FAAH2","HGNC:26440","https://search.clinicalgenome.org/kb/genes/HGNC:26440","X-linked complex neurodevelopmental disorder","MONDO:0100148","https://search.clinicalgenome.org/kb/conditions/MONDO:0100148","X-linked inheritance","","","","","disputing (06/12/2025)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_61e737d0-2314-41df-baf3-ac3cf2b2bff8-2025-06-12T170000.000Z","Intellectual Disability and Autism","","",""
"FAAP24","HGNC:28467","https://search.clinicalgenome.org/kb/genes/HGNC:28467","lymphoproliferative syndrome","MONDO:0016537","https://search.clinicalgenome.org/kb/conditions/MONDO:0016537","Autosomal recessive inheritance","","","","","disputing (06/07/2024)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_640890b8-ed2f-46bd-bf07-74e59da80cc2-2024-06-07T160000.000Z","Primary Immune Regulatory Disorders","","",""
"FADD","HGNC:3573","https://search.clinicalgenome.org/kb/genes/HGNC:3573","FADD-related immunodeficiency","MONDO:0013408","https://search.clinicalgenome.org/kb/conditions/MONDO:0013408","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Triplosensitivity (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3573","Dosage Working Group","","","","","",""
"FAH","HGNC:3579","https://search.clinicalgenome.org/kb/genes/HGNC:3579","tyrosinemia type I","MONDO:0010161","https://search.clinicalgenome.org/kb/conditions/MONDO:0010161","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (09/02/2020)","0 - No Evidence for Triplosensitivity (09/02/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3579","Dosage Working Group","definitive evidence (06/29/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_39c50699-f422-4bae-89ac-af13ef7cb8cc-2020-06-29T174149.440Z","Aminoacidopathy","","",""
"FAM111B","HGNC:24200","https://search.clinicalgenome.org/kb/genes/HGNC:24200","hereditary sclerosing poikiloderma with tendon and pulmonary involvement","MONDO:0014310","https://search.clinicalgenome.org/kb/conditions/MONDO:0014310","Autosomal dominant inheritance","","","","","moderate evidence (12/19/2023)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d13f8dba-f9ae-42f3-a97a-dcc34b063e5b-2023-12-19T170000.000Z","Interstitial Lung Disease","","",""
"FAM161A","HGNC:25808","https://search.clinicalgenome.org/kb/genes/HGNC:25808","retinitis pigmentosa 28","MONDO:0011630","https://search.clinicalgenome.org/kb/conditions/MONDO:0011630","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Triplosensitivity (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:25808","Dosage Working Group","","","","","",""
"FAM20B","HGNC:23017","https://search.clinicalgenome.org/kb/genes/HGNC:23017","congenital disorder of glycosylation","MONDO:0015286","https://search.clinicalgenome.org/kb/conditions/MONDO:0015286","Autosomal recessive inheritance","","","","","limited evidence (04/03/2025)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_72f70309-971d-4adf-8409-8aab95aad5e6-2025-04-03T170000.000Z","Congenital Disorders of Glycosylation","","",""
"FAM20C","HGNC:22140","https://search.clinicalgenome.org/kb/genes/HGNC:22140","lethal osteosclerotic bone dysplasia","MONDO:0009821","https://search.clinicalgenome.org/kb/conditions/MONDO:0009821","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:22140","Dosage Working Group","","","","","",""
"FAN1","HGNC:29170","https://search.clinicalgenome.org/kb/genes/HGNC:29170","hereditary nonpolyposis colon cancer","MONDO:0018630","https://search.clinicalgenome.org/kb/conditions/MONDO:0018630","Autosomal dominant inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Triplosensitivity (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:29170","Dosage Working Group","limited evidence (10/23/2017)","https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_9863","Colon Cancer","","",""
"FAN1","HGNC:29170","https://search.clinicalgenome.org/kb/genes/HGNC:29170","karyomegalic interstitial nephritis","MONDO:0013898","https://search.clinicalgenome.org/kb/conditions/MONDO:0013898","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Triplosensitivity (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:29170","Dosage Working Group","","","","","",""
"FANCA","HGNC:3582","https://search.clinicalgenome.org/kb/genes/HGNC:3582","Fanconi anemia complementation group A","MONDO:0009215","https://search.clinicalgenome.org/kb/conditions/MONDO:0009215","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (10/11/2023)","0 - No Evidence for Triplosensitivity (10/11/2023)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3582","Dosage Working Group","definitive evidence (04/19/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ceecf6ee-6700-40e5-a0d3-f7891805daac-2019-04-19T160000.000Z","Hereditary Cancer","Moderate Actionability (10/28/2019) | Moderate Actionability (10/28/2019)","https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC1008 | https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC1008","Adult Actionability Working Group | Pediatric Actionability Working Group"
"FANCA","HGNC:3582","https://search.clinicalgenome.org/kb/genes/HGNC:3582","Fanconi anemia","MONDO:0019391","https://search.clinicalgenome.org/kb/conditions/MONDO:0019391","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (10/11/2023)","0 - No Evidence for Triplosensitivity (10/11/2023)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3582","Dosage Working Group","","","","Moderate Actionability (10/28/2019) | Moderate Actionability (10/28/2019)","https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC1008 | https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC1008","Adult Actionability Working Group | Pediatric Actionability Working Group"
"FANCB","HGNC:3583","https://search.clinicalgenome.org/kb/genes/HGNC:3583","Fanconi anemia complementation group B","MONDO:0010351","https://search.clinicalgenome.org/kb/conditions/MONDO:0010351","X-linked inheritance","3 - Sufficient Evidence for Haploinsufficiency (06/23/2021)","0 - No Evidence for Triplosensitivity (06/23/2021)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3583","Dosage Working Group","definitive evidence (12/30/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_eb559b04-602e-42cc-aad3-ce634c145c26-2022-12-30T180000.000Z","Hereditary Cancer","","",""
